generation,rank_1,rank_2,swapAccepted
1230000,1,2,1
1231000,1,3,1
1232000,2,3,1
1233000,1,3,1
1234000,1,3,1
1235000,2,4,1
1236000,2,4,1
1237000,1,2,0
1238000,1,3,1
1239000,1,3,1
1240000,1,3,1
1241000,1,2,1
1242000,3,4,0
1243000,2,3,1
1244000,1,3,1
1245000,3,4,1
1246000,1,4,0
1247000,1,3,0
1248000,2,4,1
1249000,1,3,1
1250000,3,4,1
1251000,1,2,1
1252000,2,3,1
1253000,3,4,1
1254000,1,2,1
1255000,1,3,1
1256000,3,4,1
1257000,1,4,1
1258000,3,4,1
1259000,2,3,1
1260000,1,2,1
1261000,1,3,0
1262000,1,4,0
1263000,1,2,1
1264000,1,2,1
1265000,2,3,1
1266000,2,3,1
1267000,3,4,0
1268000,2,3,1
1269000,3,4,1
1270000,2,3,1
1271000,1,4,1
1272000,3,4,1
1273000,3,4,0
1274000,1,3,1
1275000,2,4,1
1276000,1,4,1
1277000,2,3,1
1278000,3,4,1
1279000,2,4,0
1280000,1,2,1
1281000,2,3,1
1282000,1,3,0
1283000,2,3,1
1284000,1,4,1
1285000,2,3,1
1286000,2,4,1
1287000,2,4,1
1288000,2,4,0
1289000,2,3,1
1290000,1,3,1
1291000,1,2,1
1292000,1,2,1
1293000,3,4,1
1294000,1,2,1
1295000,2,3,1
1296000,1,2,1
1297000,1,2,1
1298000,1,3,1
1299000,3,4,1
1300000,3,4,0
1301000,2,4,1
1302000,1,3,1
1303000,1,4,1
1304000,1,4,1
1305000,2,3,1
1306000,2,3,0
1307000,1,4,1
1308000,2,4,1
1309000,2,3,1
1310000,2,3,1
1311000,2,3,1
1312000,1,3,1
1313000,3,4,1
1314000,3,4,0
1315000,2,4,1
1316000,2,3,1
1317000,2,4,1
1318000,2,4,1
1319000,1,3,1
1320000,3,4,1
1321000,1,2,0
1322000,3,4,1
1323000,2,4,1
1324000,1,4,1
1325000,2,3,1
1326000,3,4,1
1327000,2,3,1
1328000,2,3,1
1329000,2,3,1
1330000,1,3,1
1331000,1,4,0
1332000,2,3,1
1333000,1,2,1
1334000,3,4,0
1335000,1,2,1
1336000,1,4,1
1337000,1,4,1
1338000,1,4,0
1339000,1,3,1
1340000,3,4,0
1341000,1,3,1
1342000,2,3,1
1343000,1,4,0
1344000,3,4,1
1345000,1,3,1
1346000,1,4,1
1347000,2,4,0
1348000,1,3,1
1349000,1,3,1
1350000,1,4,1
1351000,1,2,1
1352000,1,2,0
1353000,1,3,1
1354000,2,3,1
1355000,2,3,1
1356000,1,3,1
1357000,2,4,1
1358000,2,4,1
1359000,1,3,1
1360000,1,4,1
1361000,1,4,1
1362000,1,4,0
1363000,2,3,1
1364000,2,4,1
1365000,1,2,1
1366000,2,4,1
1367000,1,3,1
1368000,2,3,1
1369000,1,3,1
1370000,3,4,1
1371000,2,3,1
1372000,1,4,0
1373000,3,4,1
1374000,2,4,0
1375000,2,3,1
1376000,2,4,1
1377000,1,2,1
1378000,2,4,1
1379000,1,3,1
1380000,1,4,1
1381000,2,4,1
1382000,3,4,1
1383000,1,3,0
1384000,2,3,1
1385000,1,3,1
1386000,1,4,0
1387000,2,3,1
1388000,1,2,1
1389000,3,4,0
1390000,3,4,1
1391000,2,4,1
1392000,3,4,1
1393000,1,3,1
1394000,1,4,0
1395000,2,3,1
1396000,3,4,1
1397000,1,2,1
1398000,3,4,1
1399000,3,4,1
1400000,1,3,1
1401000,1,2,1
1402000,2,3,1
1403000,2,4,1
1404000,1,4,1
1405000,1,2,1
1406000,2,4,0
1407000,2,4,1
1408000,1,4,1
1409000,2,4,0
1410000,1,3,1
1411000,1,2,1
1412000,1,2,1
1413000,3,4,1
1414000,2,4,1
1415000,1,2,1
1416000,2,4,1
1417000,1,4,0
1418000,3,4,1
1419000,1,4,0
1420000,1,4,0
